                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.7832,                 3.5736,                 2.9278,                0.61453,                0.13889,                0.05211,                0.01356,                  2.669,                 4.0884,                  2.701,              0.0016142,              0.0016142,              0.0016142
                     35,                 2.7071,                 3.4354,                 2.8365,                0.58695,                0.08333,                0.05304,                0.01597,                 2.6328,                 3.9651,                 2.6564,              0.0016125,              0.0016125,              0.0016125
                     36,                 2.7172,                 3.3281,                 2.8542,                 0.6365,                0.16667,                0.13015,                0.03936,                 2.6392,                   3.35,                 2.6839,              0.0016109,              0.0016109,              0.0016109
                     37,                 2.7328,                 3.5521,                 2.9209,                0.59476,                0.05556,                0.08263,                0.02197,                 2.7363,                 3.2548,                 2.6956,              0.0016092,              0.0016092,              0.0016092
                     38,                 2.8443,                  3.396,                 2.9994,                 0.7828,                0.10885,                0.10374,                0.01891,                 2.3832,                 3.5255,                 2.6372,              0.0016076,              0.0016076,              0.0016076
                     39,                    2.7,                 3.4919,                 2.8665,                0.61486,                0.11111,                 0.1092,                0.03241,                 2.5369,                 3.1573,                 2.5713,              0.0016059,              0.0016059,              0.0016059
                     40,                 2.7003,                 3.4633,                 2.8881,                0.78091,                0.08333,                0.09121,                0.02387,                 2.7659,                 3.7995,                 2.7287,              0.0016043,              0.0016043,              0.0016043
                     41,                 2.6947,                 3.3859,                 2.8876,                0.65752,                0.13889,                 0.1322,                0.05414,                 2.5283,                 4.9518,                 2.5498,              0.0016026,              0.0016026,              0.0016026
                     42,                  2.637,                 3.4409,                 2.8878,                 0.7259,                0.11111,                0.13452,                0.04286,                 2.5553,                 3.1206,                 2.5882,               0.001601,               0.001601,               0.001601
                     43,                 2.7175,                  3.315,                  2.949,                0.61929,                0.05556,                0.06743,                0.01792,                 2.7056,                 3.1947,                 2.7432,              0.0015993,              0.0015993,              0.0015993
                     44,                 2.7269,                 3.2865,                 2.8639,                0.60216,                0.05556,                0.12957,                0.03163,                 2.6498,                 3.2519,                 2.6906,              0.0015977,              0.0015977,              0.0015977
                     45,                 2.7866,                 3.1048,                 2.8723,                0.02867,                0.05556,                0.03327,                0.01182,                 2.6529,                 3.8046,                 2.7906,               0.001596,               0.001596,               0.001596
